timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622924678589,254,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,5711,899,9,9,null,254,0,0
1622924678068,1101,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,3687,2039,9,9,null,0,0,0
1622924678068,336,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-5,text,true,,816,742,9,9,http://localhost:8090/WebTours/login.pl,336,0,0
1622924678404,439,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-5,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,439,0,0
1622924678843,326,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-5,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,326,0,0
1622924678843,326,PaymentDetailsContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,2803,1075,9,9,null,0,0,0
1622924678843,326,PaymentDetailsContinue-119,200,Ok,jp@gc - OrderTicket 1-7,text,true,,2803,1075,9,9,http://localhost:8090/WebTours/reservations.pl,326,0,0
1622924678404,1042,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-3,,true,,3688,2041,9,9,null,0,0,0
1622924678404,1042,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-6,,true,,3688,2041,9,9,null,0,0,0
1622924678404,439,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-3,text,true,,817,742,9,9,http://localhost:8090/WebTours/login.pl,439,0,0
1622924678404,439,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-6,text,true,,817,742,9,9,http://localhost:8090/WebTours/login.pl,439,0,0
1622924678404,1042,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-4,,true,,3687,2039,9,9,null,0,0,0
1622924678843,326,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-3,text,true,,1142,647,9,9,http://localhost:8090/WebTours/login.pl?intro=true,326,0,0
1622924678843,326,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-6,text,true,,1142,647,9,9,http://localhost:8090/WebTours/login.pl?intro=true,326,0,0
1622924679169,277,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-3,text,true,,1729,652,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,277,0,0
1622924678404,439,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-4,text,true,,816,742,9,9,http://localhost:8090/WebTours/login.pl,439,0,0
1622924679169,277,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-6,text,true,,1729,652,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,277,0,0
1622924678843,326,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-4,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,326,0,0
1622924679169,277,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-4,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,277,0,0
1622924678843,877,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-2,,true,,3688,2040,9,9,null,0,0,0
1622924678843,877,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,3687,2038,9,9,null,0,0,0
1622924678843,877,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-9,,true,,3688,2040,9,9,null,0,0,0
1622924678843,326,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-1,text,true,,816,741,9,9,http://localhost:8090/WebTours/login.pl,326,0,0
1622924678843,326,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-2,text,true,,817,741,9,9,http://localhost:8090/WebTours/login.pl,326,0,0
1622924678843,326,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-9,text,true,,817,741,9,9,http://localhost:8090/WebTours/login.pl,326,0,0
1622924679169,277,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,277,0,0
1622924679446,274,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,274,0,0
1622924679169,277,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-2,text,true,,1142,647,9,9,http://localhost:8090/WebTours/login.pl?intro=true,277,0,0
1622924679169,277,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-9,text,true,,1142,647,9,9,http://localhost:8090/WebTours/login.pl?intro=true,277,0,0
1622924679446,274,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-2,text,true,,1729,652,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,274,0,0
1622924679446,274,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-9,text,true,,1729,652,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,274,0,0
1622924678843,877,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-8,,true,,3687,2038,9,9,null,0,0,0
1622924679169,550,OpenPage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,4017,1140,9,9,null,0,1,0
1622924678843,326,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-8,text,true,,816,741,9,9,http://localhost:8090/WebTours/login.pl,326,0,0
1622924679170,276,OpenPage-75,200,Ok,jp@gc - OrderTicket 1-7,text,true,,1016,618,9,9,http://localhost:8090/WebTours/welcome.pl?signOff=true,276,0,0
1622924679446,274,OpenPage-76,200,Ok,jp@gc - OrderTicket 1-7,text,true,,3001,522,9,9,http://localhost:8090/WebTours/nav.pl?in=home,274,0,0
1622924679169,277,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-8,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,277,0,0
1622924679446,274,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-8,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,274,0,0
1622924679169,824,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,6899,2002,9,9,null,0,0,0
1622924679169,277,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-5,text,true,,735,665,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,277,0,0
1622924679446,274,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-5,text,true,,1729,668,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,274,0,0
1622924679720,273,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-5,text,true,,4435,669,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,273,0,0
1622924679446,822,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-6,,true,,6899,2005,9,9,null,0,1,0
1622924679446,822,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-4,,true,,6899,2002,9,9,null,0,1,0
1622924679446,822,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-3,,true,,6899,2005,9,9,null,0,1,0
1622924679446,274,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-6,text,true,,735,666,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,274,0,0
